name,telephone,address,metro_line,metro_line_1,metro_line_2,metro_line_3,metro_line_4,metro_line_5,metro_line_7,metro_line_9,metro_line_11,coordinate,X,Y,price_with_unit,price,district,subdistrict,room_type,room_area,room_height,room_fase_to
裕安楼 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1161875152,深圳市宝安区新安裕安二路西一巷裕安楼,5号线,Null,Null,Null,Null,5,Null,Null,Null,"113.908379,22.580304",113.908379,22.580304,2020元/月,2020,宝安,新安,3室1厅,20平米,5/15层,朝南
御龙居 大园林社区 一梯二户 南北通透  住家精装 安静舒适,https://sz.zu.anjuke.com/fangyuan/1161727939,深圳市宝安区西乡西乡大道26号御龙居,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.889035,22.590816",113.889035,22.590816,5500元/月,5500,宝安,西乡,3室2厅,122平米,8/10层,东南
中翠花园蛋壳公寓直租  环境优美 房价透明,https://sz.zu.anjuke.com/fangyuan/1161354907,深圳市龙岗区丹竹头中怡路22号中翠花园(峰之畔),3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.139933,22.612512",114.139933,22.612512,1000元/月,1000,龙岗,丹竹头,3室1厅,16平米,20/22层,朝东
星湖名居   返现1000 蛋壳公寓直租 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1161521064,深圳市宝安区公明星湖路36号星湖名居,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.905907,22.707356",113.905907,22.707356,1600元/月,1600,宝安,公明,3室1厅,17平米,7/15层,东南
立减2200 蛋壳公寓直租 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1159900281,深圳市福田区皇岗菩堤路68号金桂大厦,4/7号线,Null,Null,Null,4,Null,7,Null,Null,"114.063000,22.514661",114.063,22.514661,1520元/月,1520,福田,皇岗,3室1厅,10平米,5/12层,朝南
慢城(一至三期) 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1161870731,深圳市龙岗区丹竹头科技园路8号慢城(一至三期),3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.130594,22.624023",114.130594,22.624023,1900元/月,1900,龙岗,丹竹头,3室1厅,24平米,5/15层,朝南
翠珠小区 家具齐全 紧邻地铁站 没有 田贝,https://sz.zu.anjuke.com/fangyuan/1159193537,深圳市罗湖区田贝田贝4路翠珠小区,3/5/7号线,Null,Null,3,Null,5,7,Null,Null,"114.129474,22.565832",114.129474,22.565832,1485元/月,1485,罗湖,田贝,3室1厅,17平米,6/18层,朝东
广兴源圣拿威精装3房 家私全齐 看房方便,https://sz.zu.anjuke.com/fangyuan/1161224314,深圳市宝安区西乡海城路广兴源圣拿威(湾美花园),1号线,1,Null,Null,Null,Null,Null,Null,Null,"113.867014,22.562743",113.867014,22.562743,5300元/月,5300,宝安,西乡,2室1厅,60平米,14/33层,东南
半岛城邦二期 高层一线无遮挡海景 四房！看房方便,https://sz.zu.anjuke.com/fangyuan/1162229802,深圳市南山区蛇口金世纪路半岛城邦(二期),2号线,Null,2,Null,Null,Null,Null,Null,Null,"113.931518,22.481634",113.931518,22.481634,22800元/月,22800,南山,蛇口,4室2厅,178平米,33/48层,南北
鸿荣源西城雅筑  免费WiFi 交通便利 可月付,https://sz.zu.anjuke.com/fangyuan/1159536831,深圳市宝安区宝安中心玉律路鸿荣源西城雅筑,1/5/11号线,1,Null,Null,Null,5,Null,Null,11,"113.877874,22.562483",113.877874,22.562483,1120元/月,1120,宝安,宝安中心,3室1厅,16平米,19/21层,朝东
玉湖山畔  直租立减3000  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159538378,深圳市龙岗区大运清水路203号玉湖山畔,Null,Null,Null,Null,Null,Null,Null,Null,Null,"114.245425,22.756024",114.245425,22.756024,1480元/月,1480,龙岗,大运,3室1厅,15平米,16/24层,朝南
众望楼 免费WiFi 紧邻地铁站 押一付一 西丽,https://sz.zu.anjuke.com/fangyuan/1162104295,深圳市南山区西丽沙河西路3283号众望楼,5/7号线,Null,Null,Null,Null,5,7,Null,Null,"113.953457,22.578362",113.953457,22.578362,1490元/月,1490,南山,西丽,3室1厅,17平米,21/23层,朝东
愉天蛋壳公寓直租  值得信赖 押一付一,https://sz.zu.anjuke.com/fangyuan/1161423380,深圳市罗湖区田贝田贝四路愉天小区,3/7号线,Null,Null,3,Null,Null,7,Null,Null,"114.127730,22.566092",114.12773,22.566092,1530元/月,1530,罗湖,田贝,3室1厅,20平米,7/19层,朝东
景蜜村  精装卧室 无中介 房源 双周保洁 景田,https://sz.zu.anjuke.com/fangyuan/1161775575,深圳市福田区景田景田北三街景蜜村,2/9号线,Null,2,Null,Null,Null,Null,9,Null,"114.038630,22.555325",114.03863,22.555325,2030元/月,2030,福田,景田,1室1厅,29平米,13/18层,朝东
香诗美林  精装三房 家私家电齐全 实拍房源 看房方便可谈,https://sz.zu.anjuke.com/fangyuan/1162244213,深圳市福田区竹子林竹子林四路8号金众香诗美林,1/2/7号线,1,2,Null,Null,Null,7,Null,Null,"114.008287,22.536246",114.008287,22.536246,10000元/月,10000,福田,竹子林,3室2厅,118平米,23/28层,西南
新丰大厦蛋壳公寓直租  交通便利 性价比高,https://sz.zu.anjuke.com/fangyuan/1161422783,深圳市罗湖区田贝爱国路3019号新丰大厦,5/7号线,Null,Null,Null,Null,5,7,Null,Null,"114.140180,22.564204",114.14018,22.564204,1640元/月,1640,罗湖,田贝,3室1厅,20平米,11/23层,朝东
无中介 岸芷汀兰 近后海地铁 家具齐全 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1162630833,深圳市南山区科技园高新南环路岸芷汀兰,2/11号线,Null,2,Null,Null,Null,Null,Null,11,"113.951084,22.522120",113.951084,22.52212,1920元/月,1920,南山,科技园,3室1厅,19平米,7/19层,朝南
一城峰景蛋壳公寓直租 家具齐全 通勤便利 性价比高,https://sz.zu.anjuke.com/fangyuan/1161356971,深圳市龙岗区龙岗中心城建新路2号一城峰景(颐景峰苑),3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.275964,22.725517",114.275964,22.725517,1850元/月,1850,龙岗,龙岗中心城,3室1厅,22平米,13/20层,朝东
蚝业雅苑蛋壳公寓直租，月付无中介，免费WiFi，精装修，,https://sz.zu.anjuke.com/fangyuan/1159901824,深圳市宝安区西乡盐田新一村九巷蚝业雅苑,1/11号线,1,Null,Null,Null,Null,Null,Null,11,"113.863896,22.576947",113.863896,22.576947,1990元/月,1990,宝安,西乡,3室1厅,22平米,16/23层,朝东
水斗老围综合楼  客厅开阔 无中介 房源 环境优美 坂田,https://sz.zu.anjuke.com/fangyuan/1162270694,深圳市龙岗区坂田吉华路水斗老围综合楼,5号线,Null,Null,Null,Null,5,Null,Null,Null,"114.052566,22.635204",114.052566,22.635204,1930元/月,1930,龙岗,坂田,3室1厅,22平米,13/20层,朝东
0中介 泛海城市广场 高层电梯 交通便利 家具齐全 包物业,https://sz.zu.anjuke.com/fangyuan/1162276435,深圳市南山区前海前海路泛海城市广场,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.893414,22.495689",113.893414,22.495689,1748元/月,1748,南山,前海,3室1厅,17平米,13/22层,朝东
嘉麟豪庭  精装卧室 押一付一 *房源 房间实拍 福田中心,https://sz.zu.anjuke.com/fangyuan/1161661717,深圳市福田区福田中心深南大道2001号嘉麟豪庭,1/2/3/4号线,1,2,3,4,Null,Null,Null,Null,"114.066654,22.538933",114.066654,22.538933,2480元/月,2480,福田,福田中心,1室1厅,29平米,19/24层,朝东
银庄大厦  客厅开阔 无中介 房价透明 双周保洁 皇岗,https://sz.zu.anjuke.com/fangyuan/1161740194,深圳市福田区皇岗金田路1013号银庄大厦,4/7号线,Null,Null,Null,4,Null,7,Null,Null,"114.064707,22.521619",114.064707,22.521619,2350元/月,2350,福田,皇岗,1室1厅,26平米,15/20层,朝北
南富苑 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1158862831,深圳市南山区南头南富苑二街18号南富苑,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.914038,22.552641",113.914038,22.552641,1800元/月,1800,南山,南头,3室1厅,14平米,17/24层,朝南
豪城馨庭居 立减2200 蛋壳公寓直租 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1158858628,深圳市宝安区宝安中心甲岸路豪城馨庭居,1/5号线,1,Null,Null,Null,5,Null,Null,Null,"113.897472,22.554077",113.897472,22.554077,1850元/月,1850,宝安,宝安中心,3室1厅,13平米,9/21层,朝南
科技园 中山公园旁 豪方天际精装3房 家私家电全齐 拎包入住,https://sz.zu.anjuke.com/fangyuan/1163317088,深圳市南山区南头北环大道11008号豪方天际,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.920744,22.554390",113.920744,22.55439,8000元/月,8000,南山,南头,3室2厅,75平米,19/42层,朝南
雷圳碧榕湾 租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1158539778,深圳市南山区前海前海路0389号雷圳0755,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.904536,22.511997",113.904536,22.511997,2000元/月,2000,南山,前海,3室1厅,13平米,9/21层,朝南
名科馨阁  南北通透 可月付 房价透明 高层电梯 皇岗,https://sz.zu.anjuke.com/fangyuan/1161736047,深圳市福田区皇岗福强路1016号名科馨阁(里奥的花园),1/2/4/7号线,1,2,Null,4,Null,7,Null,Null,"114.065814,22.527724",114.065814,22.527724,2060元/月,2060,福田,皇岗,1室1厅,26平米,15/20层,朝北
蚝业雅苑蛋壳公寓直租 家具齐全 超大空间 无中介,https://sz.zu.anjuke.com/fangyuan/1159194006,深圳市宝安区西乡盐田新一村九巷蚝业雅苑,1/11号线,1,Null,Null,Null,Null,Null,Null,11,"113.863896,22.576947",113.863896,22.576947,1330元/月,1330,宝安,西乡,3室1厅,18平米,15/17层,朝东
育德佳园精装三房 安静 家私全齐 拎包入住 近登良地铁站,https://sz.zu.anjuke.com/fangyuan/1163496607,深圳市南山区后海后海大道2248号育德佳园,2/11号线,Null,2,Null,Null,Null,Null,Null,11,"113.933384,22.511018",113.933384,22.511018,10000元/月,10000,南山,后海,3室2厅,93平米,6/18层,朝南
汇宾广场  返现1000 蛋壳公寓直租 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1160847673,深圳市南山区南油东滨路4325号汇宾广场,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.917421,22.509437",113.917421,22.509437,2000元/月,2000,南山,南油,3室1厅,16平米,16/21层,朝南
碧涛苑   返现1000 蛋壳公寓直租 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1162629771,深圳市宝安区西乡锦花路68号天骄世家,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.890821,22.587844",113.890821,22.587844,1950元/月,1950,宝安,西乡,3室1厅,19平米,17/19层,朝南
云景豪园蛋壳公寓直租 免费WiFi 通勤便利 无中介,https://sz.zu.anjuke.com/fangyuan/1163508339,深圳市罗湖区国贸春风路2033号云景豪园,2/9号线,Null,2,Null,Null,Null,Null,9,Null,"114.126744,22.540204",114.126744,22.540204,1910元/月,1910,罗湖,国贸,3室1厅,23平米,16/23层,朝东
底价出租香珠花园1室采光好拎包随时就可以入住,https://sz.zu.anjuke.com/fangyuan/1162682283,深圳市福田区农科中心农轩路29号香珠花园,1/7/9/11号线,1,Null,Null,Null,Null,7,9,11,"114.020179,22.537443",114.020179,22.537443,6000元/月,6000,福田,农科中心,1室1厅,53平米,9/18层,朝东
水岸新都蛋壳公寓直租 双周保洁 值得信赖 押一付一,https://sz.zu.anjuke.com/fangyuan/1161872804,深圳市龙岗区坪地坪西路水岸新都(一期),Null,Null,Null,Null,Null,Null,Null,Null,Null,"114.277477,22.749034",114.277477,22.749034,1290元/月,1290,龙岗,坪地,3室1厅,15平米,16/18层,朝东
招商桃花园一二期蛋壳公寓直租 双周保洁 环境优美 性价比高,https://sz.zu.anjuke.com/fangyuan/1163512106,深圳市南山区蛇口工业八路招商桃花园一二期,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.918467,22.502694",113.918467,22.502694,1420元/月,1420,南山,蛇口,3室1厅,15平米,21/23层,朝东
南山地铁站 标准两房 家私电齐全 随时看房 舒适户型好,https://sz.zu.anjuke.com/fangyuan/1163355047,深圳市南山区南山中心南光路67号万象新园,1/11号线,1,Null,Null,Null,Null,Null,Null,11,"113.927014,22.524054",113.927014,22.524054,6500元/月,6500,南山,南山中心,2室1厅,62平米,18/31层,南北
鲁班大厦  客厅开阔 无中介 房源 包物业 景田,https://sz.zu.anjuke.com/fangyuan/1162062809,深圳市福田区景田红荔西路7022号鲁班大厦,1/2/3/9号线,1,2,3,Null,Null,Null,9,Null,"114.044510,22.547236",114.04451,22.547236,1800元/月,1800,福田,景田,3室1厅,22平米,12/19层,朝东
景新花园  家电安全 紧邻地铁站 押一付一,https://sz.zu.anjuke.com/fangyuan/1160847347,深圳市福田区景田莲花路2002号景新花园,2/9号线,Null,2,Null,Null,Null,Null,9,Null,"114.047405,22.554469",114.047405,22.554469,1960元/月,1960,福田,景田,3室1厅,22平米,11/18层,朝东
颐安都会中央蛋壳公寓直租 家具齐全 超大空间 性价比高,https://sz.zu.anjuke.com/fangyuan/1160540680,深圳市龙岗区龙岗中心城龙飞大道颐安都会中央(二期),3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.227461,22.688544",114.227461,22.688544,1000元/月,1000,龙岗,龙岗中心城,3室1厅,15平米,19/21层,朝东
满庭芳花园蛋壳公寓直租 双周保洁 干净整洁 押一付一,https://sz.zu.anjuke.com/fangyuan/1163536958,深圳市龙岗区布吉百鸽路满庭芳花园,3/5号线,Null,Null,3,Null,5,Null,Null,Null,"114.122842,22.598046",114.122842,22.598046,1850元/月,1850,龙岗,布吉,3室1厅,22平米,15/22层,朝东
12年新小区 和谐家园 精装大两房 给您温馨的家体会,https://sz.zu.anjuke.com/fangyuan/1163490347,深圳市龙岗区丹竹头龙岗大道和谐家园,3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.140464,22.619163",114.140464,22.619163,4500元/月,4500,龙岗,丹竹头,2室2厅,89平米,11/30层,东南
崇文花园四房两厅，安静，两梯两户，南北通透双阳台,https://sz.zu.anjuke.com/fangyuan/1160118240,深圳市南山区桃源村仙科路崇文花园,5号线,Null,Null,Null,Null,5,Null,Null,Null,"113.991542,22.590403",113.991542,22.590403,7500元/月,7500,南山,桃源村,4室2厅,128平米,10/20层,南北
绿色家园蛋壳公寓直租 免费WiFi 随时看房 无中介,https://sz.zu.anjuke.com/fangyuan/1161361058,深圳市龙岗区李朗丹农路1号绿色家园,Null,Null,Null,Null,Null,Null,Null,Null,Null,"114.160421,22.647665",114.160421,22.647665,1270元/月,1270,龙岗,李朗,3室1厅,17平米,19/21层,朝东
中海怡美山庄蛋壳公寓直租，押一付一，双周保洁，精装修，,https://sz.zu.anjuke.com/fangyuan/1161358771,深圳市龙岗区横岗康乐路中海怡美山庄,3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.185987,22.647422",114.185987,22.647422,1750元/月,1750,龙岗,横岗,3室1厅,19平米,10/22层,朝东
泰宁花园  家具家电全 交通便利 可月付 田贝,https://sz.zu.anjuke.com/fangyuan/1155480089,深圳市罗湖区田贝爱国路3033号泰宁花园,5/7号线,Null,Null,Null,Null,5,7,Null,Null,"114.140934,22.565880",114.140934,22.56588,1860元/月,1860,罗湖,田贝,3室1厅,21平米,13/20层,朝东
非中介 押一付一 朝南 豪华装修(个人),https://sz.zu.anjuke.com/fangyuan/1160225823,深圳市南山区南油后海大道后海花园,2/11号线,Null,2,Null,Null,Null,Null,Null,11,"113.930955,22.513057",113.930955,22.513057,1850元/月,1850,南山,南油,4室1厅,14平米,9/21层,朝南
中粮凤凰里 良心房东 免费WiFi 交通便利  福永,https://sz.zu.anjuke.com/fangyuan/1155502569,深圳市宝安区福永塘新路中粮凤凰里,11号线,Null,Null,Null,Null,Null,Null,Null,11,"113.819019,22.693463",113.819019,22.693463,1630元/月,1630,宝安,福永,3室1厅,17平米,11/23层,朝东
0中介 前海时代 高层电梯 交通便利 家具齐全 包物业,https://sz.zu.anjuke.com/fangyuan/1158858146,深圳市南山区前海怡海大道前海时代,1/5/11号线,1,Null,Null,Null,5,Null,Null,11,"113.906600,22.511684",113.9066,22.511684,2184元/月,2184,南山,前海,3室1厅,24平米,3/26层,朝东
长城盛世家园 高素质室友 全新装修 拎包入住 没有,https://sz.zu.anjuke.com/fangyuan/1161777024,深圳市福田区莲花彩田路2-5号长城盛世家园(一期),3/4/9号线,Null,Null,3,4,Null,Null,9,Null,"114.066375,22.560416",114.066375,22.560416,2350元/月,2350,福田,莲花,1室1厅,25平米,17/22层,朝南
香蜜湖东海花园，奢华大四房，万科品质大花园，尽享尊贵身份,https://sz.zu.anjuke.com/fangyuan/1161822420,深圳市福田区农科中心香林路东海花园(二期福禄居),1/7/9/11号线,1,Null,Null,Null,Null,7,9,11,"114.023816,22.538555",114.023816,22.538555,12000元/月,12000,福田,农科中心,4室2厅,130平米,11/17层,朝南
南新蛋壳公寓直租  值得信赖 押一付一,https://sz.zu.anjuke.com/fangyuan/1161337923,深圳市南山区前海南新路1845号南新苑,11号线,Null,Null,Null,Null,Null,Null,Null,11,"113.918570,22.522051",113.91857,22.522051,1440元/月,1440,南山,前海,3室1厅,17平米,19/21层,朝东
精装3房，交 通 便 利，靠近沃尔玛，业主诚心出租,https://sz.zu.anjuke.com/fangyuan/1162723589,深圳市南山区蛇口四海路27号紫竹园,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.925558,22.504112",113.925558,22.504112,6000元/月,6000,南山,蛇口,3室1厅,63平米,4/8层,南北
南山地铁站 标准两房 家私电齐全 随时看房 舒适户型好,https://sz.zu.anjuke.com/fangyuan/1163355047,深圳市南山区南山中心南光路67号万象新园,1/11号线,1,Null,Null,Null,Null,Null,Null,11,"113.927014,22.524054",113.927014,22.524054,6500元/月,6500,南山,南山中心,2室1厅,62平米,18/31层,南北
辛诚花园  客厅开阔 押一付一 房源 双周保洁 福田中心,https://sz.zu.anjuke.com/fangyuan/1161767564,深圳市福田区福田中心福华三路11号辛诚花园,1/2/4/7号线,1,2,Null,4,Null,7,Null,Null,"114.066420,22.531822",114.06642,22.531822,2220元/月,2220,福田,福田中心,1室1厅,28平米,17/22层,朝北
车公庙高档小区，高尔夫125平豪装3房，家私齐全，随时入住,https://sz.zu.anjuke.com/fangyuan/1158807985,深圳市福田区车公庙滨河大道9280号天安高尔夫海景花园(天安高尔夫花园二期),1/7/9/11号线,1,Null,Null,Null,Null,7,9,11,"114.033277,22.531661",114.033277,22.531661,12600元/月,12600,福田,车公庙,3室2厅,125平米,23/32层,东南
大冲都市花园蛋壳公寓直租 双周保洁 环境优美 房价透明,https://sz.zu.anjuke.com/fangyuan/1162629717,深圳市南山区科技园铜鼓路大冲都市花园,1号线,1,Null,Null,Null,Null,Null,Null,Null,"113.953215,22.543756",113.953215,22.543756,1780元/月,1780,南山,科技园,3室1厅,17平米,10/22层,朝东
新一代国际公寓蛋壳公寓直租  环境优美 无中介,https://sz.zu.anjuke.com/fangyuan/1161440841,深圳市南山区南油东滨路3014号新一代国际公寓,2号线,Null,2,Null,Null,Null,Null,Null,Null,"113.924705,22.505237",113.924705,22.505237,1470元/月,1470,南山,南油,3室1厅,16平米,20/22层,朝东
中康生活区 蛋壳公寓直租 短租返现 交通便利 押一付一,https://sz.zu.anjuke.com/fangyuan/1160224554,深圳市龙岗区丹竹头布沙路万科公园里,Null,Null,Null,Null,Null,Null,Null,Null,Null,"114.158259,22.606503",114.158259,22.606503,2400元/月,2400,龙岗,丹竹头,3室1厅,19平米,15/28层,朝东
双玺海之门 4加1房 带全套*家私电器 全海景 看房随时,https://sz.zu.anjuke.com/fangyuan/1163568555,深圳市南山区蛇口望海路双玺花园,2号线,Null,2,Null,Null,Null,Null,Null,Null,"113.918950,22.481280",113.91895,22.48128,50000元/月,50000,南山,蛇口,5室2厅,252平米,39/51层,南北
东方明珠城  免费WiFi 紧邻地铁站  龙岗中心城,https://sz.zu.anjuke.com/fangyuan/1158861240,深圳市龙岗区龙岗中心城龙河路19号东方明珠城,3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.254065,22.718905",114.254065,22.718905,1850元/月,1850,龙岗,龙岗中心城,3室1厅,20平米,11/18层,朝东
深业上城  豪装四房  业主诚心出租 方便看房,https://sz.zu.anjuke.com/fangyuan/1161635210,深圳市福田区莲花笋岗西路深业上城,3/4/9号线,Null,Null,3,4,Null,Null,9,Null,"114.070226,22.556923",114.070226,22.556923,52000元/月,52000,福田,莲花,4室2厅,358平米,19/49层,南北
绿色家园蛋壳公寓直租 智能门锁 值得信赖 无中介,https://sz.zu.anjuke.com/fangyuan/1161362159,深圳市龙岗区李朗丹农路1号绿色家园,Null,Null,Null,Null,Null,Null,Null,Null,Null,"114.160421,22.647665",114.160421,22.647665,1200元/月,1200,龙岗,李朗,3室1厅,17平米,17/19层,朝东
新德家园 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159898982,深圳市南山区前海前海路3001号新德家园,1号线,1,Null,Null,Null,Null,Null,Null,Null,"113.914344,22.529024",113.914344,22.529024,1800元/月,1800,南山,前海,4室1厅,17平米,6/19层,东南
香林玫瑰花园蛋壳公寓直租 智能门锁 超大空间 无中介,https://sz.zu.anjuke.com/fangyuan/1163502256,深圳市龙岗区大运清林路328号香林玫瑰花园,Null,Null,Null,Null,Null,Null,Null,Null,Null,"114.224978,22.720206",114.224978,22.720206,1570元/月,1570,龙岗,大运,3室1厅,17平米,5/17层,朝东
天琴阁  精装卧室 押一付一 房价透明 包物业 西乡,https://sz.zu.anjuke.com/fangyuan/1162101676,深圳市宝安区西乡西乡大道337号天琴阁,1/11号线,1,Null,Null,Null,Null,Null,Null,11,"113.864495,22.572958",113.864495,22.572958,1640元/月,1640,宝安,西乡,3室1厅,19平米,10/22层,朝东
近深国投广场 侨香公馆 三房125平出租 看房钥匙在手,https://sz.zu.anjuke.com/fangyuan/1161429988,深圳市福田区农科中心侨香路3038号侨香公馆,1/2/7号线,1,2,Null,Null,Null,7,Null,Null,"114.006373,22.544843",114.006373,22.544843,12000元/月,12000,福田,农科中心,3室2厅,125平米,19/36层,东南
西城上筑蛋壳公寓直租 免费WiFi 干净整洁 房价透明,https://sz.zu.anjuke.com/fangyuan/1157427776,深圳市宝安区宝安中心创业一路1014号西城上筑,1/5/11号线,1,Null,Null,Null,5,Null,Null,11,"113.892369,22.556273",113.892369,22.556273,1400元/月,1400,宝安,宝安中心,3室1厅,16平米,19/21层,朝东
0中介 泛海城市广场 高层电梯 交通便利 家具齐全 包物业,https://sz.zu.anjuke.com/fangyuan/1162276435,深圳市南山区前海前海路泛海城市广场,Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.893414,22.495689",113.893414,22.495689,1748元/月,1748,南山,前海,3室1厅,17平米,13/22层,朝东
金汐府  客厅开阔 无中介 房价透明 包物业 龙岗中心城,https://sz.zu.anjuke.com/fangyuan/1162136070,深圳市龙岗区龙岗中心城同富路51号金汐府,3号线,Null,Null,3,Null,Null,Null,Null,Null,"114.291504,22.729465",114.291504,22.729465,1410元/月,1410,龙岗,龙岗中心城,3室1厅,17平米,15/17层,朝东
长坑小区蛋壳公寓直租 免费WiFi 值得信赖 房价透明,https://sz.zu.anjuke.com/fangyuan/1163275892,深圳市龙岗区坂田布龙路长坑小区,5号线,Null,Null,Null,Null,5,Null,Null,Null,"114.064194,22.628424",114.064194,22.628424,1130元/月,1130,龙岗,坂田,3室1厅,16平米,16/18层,朝东
馨庭苑 房源真实 家电安全 紧邻地铁站 不是中介 景田,https://sz.zu.anjuke.com/fangyuan/1162146347,深圳市福田区景田罗租大道6号馨庭苑,2/9号线,Null,2,Null,Null,Null,Null,9,Null,"114.037109,22.557502",114.037109,22.557502,1480元/月,1480,福田,景田,3室1厅,17平米,21/23层,朝东
